 "ETL_DATE","BR_CODE","BR_NAME","REGION_CODE","REGION_NAME"
20180329,"104",TRUNG TAM KINH DOANH LONG BIEN,,
20180329,"271",TPBANK QUAN 4,SOU,Miền Nam
20180329,"065",TPBANK CHIEN THANG,NOR,Miên Bắc
20180329,"213",TRUNG TAM KINH DOANH PHAN DANG LUU,,
20180329,"106",PHONG KINH DOANH KV THAI NGUYEN,,
20180329,"915",TTGD TU DONG LIVEBANK HA NOI HN,,
20180329,"273",TRUNG TAM KINH DOANH BINH THANH,,
20180329,"301",TPBANK DI AN,MOT,Miền Trung
20180329,"903",TTGD TU DONG LIVEBANK BD,,
20180329,"005",TRUNG TAM KHDN LON MIEN BAC,,
20180329,"017",TPBANK MY DINH,NOR,Miên Bắc
20180329,"006",TRUNG TAM BAN MIEN NAM 1,,
20180329,"028",TPBANK NAM HA NOI,NOR,Miên Bắc
20180329,"210",TRUNG TAM KINH DOANH LON MIEN NAM,,
20180329,"055",TRUNG TAM DICH VU NGAN HANG CA NHAN,,
20180329,"094",TT KINH DOANH MIEN BAC 2,,
20180329,"280",TPBANK HUNG VUONG,SOU,Miền Nam
20180329,"015",TPBANK HA THANH,NOR,Miên Bắc
20180329,"300",TPBANK BINH DUONG,SOU,Miền Nam
20180329,"370",TPBANK DA NANG,NOR,Miên Bắc
20180329,"360",TPBANK NHA TRANG,MOT,Miền Trung
20180329,"340",TPBANK THANH HOA,NOR,Miên Bắc
20180329,"085",TRUNG TAM BAN MIEN BAC 3,,
20180329,"029",TRUNG TAM BAN MIEN BAC 4,,
20180329,"909",TTGD TU DONG LIVEBANK TAY NINH,,
20180329,"832",TRUNG TAM KINH DOANH BIEN HOA,,
20180329,"914",TTGD TU DONG LIVEBANK HA NOI HO,,
20180329,"245",PHONG KINH DOANH KV QUAN 5,,
20180329,"888",TPBANK QUICKPAY,,
20180329,"999",TPBANK DIGITAL BRANCH,,
20180329,"312",TRUNG TAM KINH DOANH VINH,,
20180329,"042",TPBANK HO GUOM,NOR,Miên Bắc
20180329,"102",TPBANK LONG BIEN,NOR,Miên Bắc
20180329,"003",TRUNG TAM KINH DOANH,NOR,Miên Bắc
20180329,"066",TRUNG TAM GIAO DICH HOI SO,NOR,Miên Bắc
20180329,"030",TPBANK THANH TRI,NOR,Miên Bắc
20180329,FO-CN-TTKDCHA04,Phòng Khách hàng Doanh nghi?p,,
20180329,"007",PHONG QHKH VA DOI TAC NHAT,,
20180329,"018",TPBANK LINH DAM 1,NOR,Miên Bắc
20180329,HAN,NGAN HANG TPBANK TP HA NOI,,
20180329,"069",TPBANK THANH DO 2,NOR,Miên Bắc
20180329,"211",TPBANK PHAN DANG LUU,SOU,Miền Nam
